Method Configuration,AUC of Average Recall of ADD,RANSAC/PnP mean duration,RANSAC/PnP Iterations
Baseline,0.85,30.0,150.0
Ours + MPPI (based on ZP) bbox,0.6023860398860399,1.3857905547997822,3.0
Ours + MPPI (based on ZP) bbox,0.7052932761087267,1.8818606082479366,5.0
Ours + MPPI (based on ZP) bbox,0.7738095238095237,3.096812642291607,10.0
Ours + MPPI (based on ZP) bbox,0.796875,4.197294636838132,15.0
Ours + MPPI (based on ZP) bbox,0.8094042838018741,6.368494399548428,25.0
Ours + MPPI (based on ZP) bbox,0.829047619047619,11.918255543610279,50.0
Ours + MPPI (based on ZP) bbox,0.8399470899470899,23.514499857413195,100.0
Ours + MPPI (based on ZP) bbox,0.8380294169767853,34.01634535175305,150.0
Ours + MPPI (based on ZP) bbox,0.846815834767642,55.504392644873484,250.0
Ours + MPPI (based on ZP) bbox + initial pose,0.618836291913215,1.3857905547997822,3.0
Ours + MPPI (based on ZP) bbox + initial pose,0.705861201006832,1.8818606082479366,5.0
Ours + MPPI (based on ZP) bbox + initial pose,0.7756315007429421,3.096812642291607,10.0
Ours + MPPI (based on ZP) bbox + initial pose,0.7960640891675373,4.197294636838132,15.0
Ours + MPPI (based on ZP) bbox + initial pose,0.8198812019566737,6.4731446017093095,25.0
Ours + MPPI (based on ZP) bbox + initial pose,0.8262910798122066,11.918255543610279,50.0
Ours + MPPI (based on ZP) bbox + initial pose,0.8450753592709428,23.514499857413195,100.0
Ours + MPPI (based on ZP) bbox + initial pose,0.8389306599832915,34.01634535175305,150.0
Ours + MPPI (based on ZP) bbox + initial pose,0.8505942275042444,55.504392644873484,250.0
